rule_dormant_rank,序号,数据集ID,数据资源名称,数据资源提供部门,数据领域,数据资源类型,开放属性,更新频率,detail_url,view_count_clean,download_count_clean,api_call_count_clean,ActualUse_main_percentile,PotentialUse_main_percentile,DormantScore_rule_v11,DormantScore_rule_rank_v11,topic_public_value_score,semantic_clarity_score,data_richness_score,machine_readability_score,timeliness_score,spatiotemporal_capability_score,combinability_score,format_count_clean,field_count_clean,field_description_count_clean,record_count_log_winsor_p99,data_size_log_winsor_p99,has_meaningful_time_scope,has_time_field_strict,has_geo_field_strict
1,1401,O2813841502025060,徐汇区化学原料和化学制品制造业单位,上海市徐汇区人民政府,经济建设,数据产品,有条件开放,每年,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=O2813841502025060&&companyFlag=0,5.0,0.0,0.0,0.0205538727823453,0.9931858685396792,0.9726319957573338,1.0,0.8500000000000001,0.90625,0.5577720779859155,1.0,0.4652987421383648,0.975,0.7992532476649847,5.0,27.0,27.0,4.795790545596741,12.019074168977248,1,1,1
2,220,O2813841502026103,徐汇区_安全隐患监管一体机_物联设备信息,上海市徐汇区人民政府,公共安全,数据产品,有条件开放,每年,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=O2813841502026103&&companyFlag=0,2.0,0.0,0.0,0.0075724794461272,0.9800817695775238,0.9725092901313966,2.0,0.925,0.9375,0.4913793985753898,1.0,0.5376367924528302,0.675,0.8016565802039852,5.0,13.0,13.0,6.393590753950631,12.966955574395405,0,1,1
3,1390,O2813841502025068,徐汇区建筑装饰、装修和其他建筑业单位,上海市徐汇区人民政府,经济建设,数据产品,有条件开放,每年,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=O2813841502025068&&companyFlag=0,6.0,0.0,0.0,0.0240155776720034,0.9958066883321104,0.971791110660107,3.0,0.8500000000000001,0.9166666666666666,0.6392287284373304,1.0,0.4652987421383648,0.975,0.7752000098904401,5.0,27.0,27.0,7.6004023345004,14.961556217758403,1,1,1
4,456,O2813841502026058,徐汇区华泾镇_消火栓按钮传感器_物联设备信息,上海市徐汇区人民政府,公共安全,数据产品,有条件开放,每年,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=O2813841502026058&&companyFlag=0,1.0,0.0,0.0,0.0022717438338381,0.9717999790334416,0.9695282351996035,4.0,0.8833333333333334,0.9333333333333332,0.4789229823059511,1.0,0.5019764150943397,0.675,0.8016565802039852,5.0,13.0,13.0,5.940171252720432,12.551876209580271,0,1,1
5,1387,O2813841502025071,徐汇区机动车、电子产品和日用产品修理业单位,上海市徐汇区人民政府,经济建设,数据产品,有条件开放,每年,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=O2813841502025071&&companyFlag=0,7.0,0.0,0.0,0.0276936391172652,0.99695984904078,0.9692662099235149,5.0,0.8500000000000001,0.9479166666666666,0.6162874546090076,1.0,0.4652987421383648,0.975,0.7992532476649847,5.0,27.0,27.0,7.00033446027523,13.862944564872768,1,1,1
6,463,O2813841502026052,徐汇区斜土街道_火灾烟雾探测传感器_物联设备信息,上海市徐汇区人民政府,公共安全,数据产品,有条件开放,每年,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=O2813841502026052&&companyFlag=0,1.0,0.0,0.0,0.0022717438338381,0.9703323199496804,0.9680605761158423,6.0,0.8416666666666667,0.9291666666666666,0.4984383890079324,1.0,0.5019764150943397,0.675,0.8016565802039852,5.0,13.0,13.0,6.647688373563329,13.206235665940454,0,1,1
7,488,O2813841502026030,徐汇区康健街道_火灾烟雾探测传感器_物联设备信息,上海市徐汇区人民政府,公共安全,数据产品,有条件开放,每年,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=O2813841502026030&&companyFlag=0,1.0,0.0,0.0,0.0022717438338381,0.9695984904077996,0.9673267465739614,7.0,0.8416666666666667,0.9291666666666666,0.4979094934647418,1.0,0.4990047169811322,0.675,0.8016565802039852,5.0,13.0,13.0,6.626717749249025,13.191055136894946,0,1,1
8,484,O2813841502026034,徐汇区枫林街道_火灾烟雾探测传感器_物联设备信息,上海市徐汇区人民政府,公共安全,数据产品,有条件开放,每年,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=O2813841502026034&&companyFlag=0,1.0,0.0,0.0,0.0022717438338381,0.969283992032708,0.9670122481988699,8.0,0.8416666666666667,0.9291666666666666,0.4946064614553884,1.0,0.4990047169811322,0.675,0.8016565802039852,5.0,13.0,13.0,6.511745329644728,13.073511311319011,0,1,1
9,486,O2813841502026032,徐汇区华泾镇_火灾烟雾探测传感器_物联设备信息,上海市徐汇区人民政府,公共安全,数据产品,有条件开放,每年,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=O2813841502026032&&companyFlag=0,2.0,0.0,0.0,0.0075724794461272,0.97452563161757,0.9669531521714428,9.0,0.8833333333333334,0.94375,0.4965400756152587,1.0,0.4990047169811322,0.675,0.8016565802039852,5.0,13.0,13.0,6.580639137284949,13.140063796608638,0,1,1
10,465,O2813841502026051,徐汇区天平街道_门体状态探测传感器(gsm版)_物联设备信息,上海市徐汇区人民政府,公共安全,数据产品,有条件开放,每年,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=O2813841502026051&&companyFlag=0,1.0,0.0,0.0,0.0022717438338381,0.9687598280742216,0.9664880842403835,10.0,0.8416666666666667,0.95,0.4591925075729827,1.0,0.5019764150943397,0.675,0.795864718816109,5.0,11.0,11.0,6.129050210060545,12.57692215398762,0,1,1
11,1386,O2813841502025072,徐汇区橡胶和塑料制品业单位,上海市徐汇区人民政府,经济建设,数据产品,有条件开放,每年,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=O2813841502025072&&companyFlag=0,6.0,0.0,0.0,0.0240155776720034,0.9902505503721564,0.966234972700153,11.0,0.8500000000000001,0.8645833333333334,0.5551773173013995,1.0,0.4652987421383648,0.975,0.7992532476649847,5.0,27.0,27.0,4.718498871295094,11.90821228291114,1,1,1
12,475,O2813841502026043,徐汇区华泾镇_门体状态探测传感器(gsm版)_物联设备信息,上海市徐汇区人民政府,公共安全,数据产品,有条件开放,每年,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=O2813841502026043&&companyFlag=0,3.0,0.0,0.0,0.0123323236694071,0.9778802809518816,0.9655479572824746,12.0,0.8833333333333334,0.975,0.4908135811017752,1.0,0.4990047169811322,0.675,0.8016565802039852,5.0,13.0,13.0,6.371611847231857,12.950067396157342,0,1,1
13,472,O2813841502026046,徐汇区斜土街道_门体状态探测传感器(gsm版)_物联设备信息,上海市徐汇区人民政府,公共安全,数据产品,有条件开放,每年,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=O2813841502026046&&companyFlag=0,2.0,0.0,0.0,0.0075724794461272,0.9719048118251388,0.9643323323790116,13.0,0.8416666666666667,0.95,0.4868979161098946,1.0,0.4990047169811322,0.675,0.8016565802039852,5.0,13.0,13.0,6.234410725718371,12.812007519824643,0,1,1
14,436,O2813841502026062,徐汇区华泾镇_感温探测器_物联设备信息,上海市徐汇区人民政府,公共安全,数据产品,有条件开放,每年,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=O2813841502026062&&companyFlag=0,1.0,0.0,0.0,0.0022717438338381,0.9661390082817906,0.9638672644479525,14.0,0.8833333333333334,0.9020833333333332,0.4767148939883464,1.0,0.5019764150943397,0.675,0.8016565802039852,5.0,13.0,13.0,5.8664680569332965,12.468809917344853,0,1,1
15,1391,O2813841502025067,徐汇区废弃资源综合利用业单位,上海市徐汇区人民政府,经济建设,数据产品,有条件开放,每年,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=O2813841502025067&&companyFlag=0,7.0,0.0,0.0,0.0276936391172652,0.991403711080826,0.9637100719635608,15.0,0.8500000000000001,0.875,0.5523808992047482,1.0,0.4663993710691824,0.975,0.7992532476649847,5.0,27.0,27.0,4.6443908991413725,11.775666581496983,1,1,1
16,82,O2813841502026139,徐汇区_门体状态探测传感器_物联设备信息,上海市徐汇区人民政府,民生服务,数据产品,有条件开放,每年,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=O2813841502026139&&companyFlag=0,4.0,0.0,0.0,0.0163349199480744,0.9798721039941294,0.9635371840460549,16.0,0.8791666666666665,0.8875,0.572344177731209,1.0,0.5445707547169811,0.675,0.8016565802039852,5.0,13.0,13.0,9.239510749275963,15.808853896493398,0,1,1
17,1388,O2813841502025070,徐汇区文教、工美、体育和娱乐用品制造业单位,上海市徐汇区人民政府,经济建设,数据产品,有条件开放,每年,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=O2813841502025070&&companyFlag=0,8.0,0.0,0.0,0.0323453050627434,0.9949680259985324,0.962622720935789,17.0,0.8500000000000001,0.9479166666666666,0.5578263571778679,1.0,0.4652987421383648,0.975,0.7903759132721292,5.0,27.0,27.0,4.812184355372417,12.00038214970334,1,1,1
18,1389,O2813841502025069,徐汇区房地产业单位,上海市徐汇区人民政府,经济建设,数据产品,有条件开放,每年,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=O2813841502025069&&companyFlag=0,7.0,0.0,0.0,0.0276936391172652,0.9897263864136702,0.962032747296405,18.0,0.8500000000000001,0.8229166666666666,0.6615349025237393,1.0,0.4157971698113207,0.975,0.7992532476649847,5.0,27.0,27.0,8.447628728030327,15.654703239372669,1,1,1
19,121,O2813841502026115,徐汇区_室外消火栓末端压力_物联设备信息,上海市徐汇区人民政府,公共安全,数据产品,有条件开放,每年,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=O2813841502026115&&companyFlag=0,1.0,0.0,0.0,0.0022717438338381,0.963727854072754,0.9614561102389159,19.0,0.8416666666666667,0.8875,0.4575881959747618,1.0,0.5445707547169811,0.675,0.8016565802039852,5.0,13.0,13.0,5.198497031265826,11.791291780184409,0,1,1
20,461,O2813841502026054,徐汇区虹梅街道_火灾烟雾探测传感器_物联设备信息,上海市徐汇区人民政府,公共安全,数据产品,有条件开放,每年,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=O2813841502026054&&companyFlag=0,2.0,0.0,0.0,0.0075724794461272,0.9686549952825244,0.9610825158363973,20.0,0.8416666666666667,0.9291666666666666,0.4822395970478594,1.0,0.5019764150943397,0.675,0.8016565802039852,5.0,13.0,13.0,6.077642243349034,12.638585314736751,0,1,1
21,483,O2813841502026035,徐汇区康健街道_门体状态探测传感器(gsm版)_物联设备信息,上海市徐汇区人民政府,公共安全,数据产品,有条件开放,每年,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=O2813841502026035&&companyFlag=0,3.0,0.0,0.0,0.0123323236694071,0.9729531397421112,0.9606208160727041,21.0,0.8416666666666667,0.95,0.4948782103566039,1.0,0.4990047169811322,0.675,0.8016565802039852,5.0,13.0,13.0,6.52649485957079,13.075659535350583,0,1,1
22,1400,O2813841502025061,徐汇区印刷和记录媒介复制业单位,上海市徐汇区人民政府,经济建设,数据产品,有条件开放,每年,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=O2813841502025061&&companyFlag=0,8.0,0.0,0.0,0.0323453050627434,0.992661704581193,0.9603163995184496,22.0,0.8500000000000001,0.8854166666666666,0.5693055782760269,1.0,0.4652987421383648,0.975,0.7992532476649847,5.0,27.0,27.0,5.209486152841421,12.412114797943582,1,1,1
23,437,O2813841502026061,徐汇区龙华街道_火灾烟雾探测传感器_物联设备信息,上海市徐汇区人民政府,公共安全,数据产品,有条件开放,每年,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=O2813841502026061&&companyFlag=0,2.0,0.0,0.0,0.0075724794461272,0.9678163329489464,0.9602438535028193,23.0,0.8416666666666667,0.9291666666666666,0.4769028466969214,1.0,0.5019764150943397,0.675,0.8016565802039852,5.0,13.0,13.0,5.8888779583328805,12.45293662970407,0,1,1
24,462,O2813841502026053,徐汇区湖南街道_输入输出模块_物联设备信息,上海市徐汇区人民政府,公共安全,数据产品,有条件开放,每年,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=O2813841502026053&&companyFlag=0,1.0,0.0,0.0,0.0022717438338381,0.9619456966139008,0.9596739527800627,24.0,0.8416666666666667,0.8979166666666666,0.4831522051704749,1.0,0.5019764150943397,0.675,0.8016565802039852,5.0,13.0,13.0,6.095824562432225,12.69037666011079,0,1,1
25,1380,O2813841502025078,徐汇区装卸搬运和仓储业单位,上海市徐汇区人民政府,经济建设,数据产品,有条件开放,每年,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=O2813841502025078&&companyFlag=0,7.0,0.0,0.0,0.0276936391172652,0.9873152322046336,0.9596215930873684,25.0,0.8500000000000001,0.8645833333333334,0.574652121973803,1.0,0.4157971698113207,0.975,0.7752000098904401,5.0,27.0,27.0,5.389071729816501,12.611647747588782,1,1,1
26,431,O2813841502026067,徐汇区虹梅街道_门体状态探测传感器(gsm版)_物联设备信息,上海市徐汇区人民政府,公共安全,数据产品,有条件开放,每年,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=O2813841502026067&&companyFlag=0,2.0,0.0,0.0,0.0075724794461272,0.9669776706153684,0.9594051911692413,26.0,0.8416666666666667,0.95,0.4475617034430565,1.0,0.5019764150943397,0.675,0.795864718816109,5.0,11.0,11.0,5.717027701406222,12.173223987643102,0,1,1
27,1364,O2813841502025092,徐汇区居民服务业单位,上海市徐汇区人民政府,经济建设,数据产品,有条件开放,每年,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=O2813841502025092&&companyFlag=0,8.0,0.0,0.0,0.0323453050627434,0.9917182094559178,0.9593729043931745,27.0,0.8500000000000001,0.8333333333333334,0.673963115482532,1.0,0.4157971698113207,0.975,0.7992532476649847,5.0,27.0,27.0,8.906122330884303,16.060168294498933,1,1,1
28,1378,O2813841502025080,徐汇区资本市场服务单位,上海市徐汇区人民政府,经济建设,数据产品,有条件开放,每年,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=O2813841502025080&&companyFlag=0,7.0,0.0,0.0,0.0276936391172652,0.9868959010378446,0.9592022619205794,28.0,0.8500000000000001,0.84375,0.5900226179075904,1.0,0.4157971698113207,0.975,0.7903759132721292,5.0,27.0,27.0,5.902633333401366,13.189141264289727,1,1,1
29,120,O2813841502026116,徐汇区_末端试水电动阀_物联设备信息,上海市徐汇区人民政府,公共安全,数据产品,有条件开放,每年,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=O2813841502026116&&companyFlag=0,1.0,0.0,0.0,0.0022717438338381,0.9604780375301394,0.9582062936963013,29.0,0.8416666666666667,0.8666666666666666,0.4593684726118527,1.0,0.5445707547169811,0.675,0.8016565802039852,5.0,13.0,13.0,5.267858159063328,11.844133871916345,0,1,1
30,1399,O2813841502025062,徐汇区商务服务业单位,上海市徐汇区人民政府,经济建设,数据产品,有条件开放,每年,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=O2813841502025062&&companyFlag=0,9.0,0.0,0.0,0.037321505841627,0.9954921899570186,0.9581706841153916,30.0,0.8500000000000001,0.8333333333333334,0.7071745802408618,1.0,0.4652987421383648,0.975,0.8178041569456957,5.0,27.0,27.0,9.958591078762153,17.389304163864313,1,1,1
31,1397,O2813841502025064,徐汇区土木工程建筑业单位,上海市徐汇区人民政府,经济建设,数据产品,有条件开放,每年,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=O2813841502025064&&companyFlag=0,8.0,0.0,0.0,0.0323453050627434,0.9901457175804592,0.9578004125177159,31.0,0.8500000000000001,0.8541666666666666,0.5831489452958406,1.0,0.4663993710691824,0.975,0.7752000098904401,5.0,27.0,27.0,5.613128106388071,13.015973443188097,1,1,1
32,1361,O2813841502025095,徐汇区批发业单位,上海市徐汇区人民政府,经济建设,数据产品,有条件开放,每年,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=O2813841502025095&&companyFlag=0,8.0,0.0,0.0,0.0323453050627434,0.990040884788762,0.9576955797260186,32.0,0.8500000000000001,0.8125,0.6980665754586745,1.0,0.4157971698113207,0.975,0.7752000098904401,5.0,27.0,27.0,9.688498165477789,16.998437868592156,1,1,1
33,485,O2813841502026033,徐汇区田林街道_门禁设备_物联设备信息,上海市徐汇区人民政府,公共安全,数据产品,有条件开放,每年,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=O2813841502026033&&companyFlag=0,1.0,0.0,0.0,0.0022717438338381,0.9584862144878918,0.9562144706540537,33.0,0.8416666666666667,0.8770833333333333,0.4947547969342805,1.0,0.4990047169811322,0.675,0.8016565802039852,5.0,13.0,13.0,6.520621127558696,13.073511311319011,0,1,1
34,99,O2813841502026156,徐汇区_楼道堆物监测传感器_物联设备信息,上海市徐汇区人民政府,民生服务,数据产品,有条件开放,每年,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=O2813841502026156&&companyFlag=0,1.0,0.0,0.0,0.0022717438338381,0.9573330537792222,0.9550613099453841,34.0,0.8791666666666665,0.8875,0.3954889016959338,1.0,0.5445707547169811,0.675,0.8016565802039852,5.0,13.0,13.0,3.044522437723423,9.570598887246268,0,1,1
35,215,O2813841502026108,徐汇区_压力开关传感器_物联设备信息,上海市徐汇区人民政府,公共安全,数据产品,有条件开放,每年,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=O2813841502026108&&companyFlag=0,2.0,0.0,0.0,0.0075724794461272,0.9625746933640844,0.9550022139179573,35.0,0.8416666666666667,0.8666666666666666,0.4829605455261789,1.0,0.5376367924528302,0.675,0.8016565802039852,5.0,13.0,13.0,6.07993319509559,12.696665969704064,0,1,1
36,430,O2813841502026068,徐汇区华泾镇_手动火灾报警按钮_物联设备信息,上海市徐汇区人民政府,公共安全,数据产品,有条件开放,每年,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=O2813841502026068&&companyFlag=0,4.0,0.0,0.0,0.0163349199480744,0.9707516511164692,0.9544167311683949,36.0,0.8833333333333334,0.9333333333333332,0.472145579922315,1.0,0.5019764150943397,0.675,0.8016565802039852,5.0,13.0,13.0,5.703782474656201,12.311373659417804,0,1,1
37,221,O2813841502026102,徐汇区_正压风机传感器_物联设备信息,上海市徐汇区人民政府,公共安全,数据产品,有条件开放,每年,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=O2813841502026102&&companyFlag=0,5.0,0.0,0.0,0.0205538727823453,0.9747352972009644,0.9541814244186191,37.0,0.8416666666666667,0.8666666666666666,0.4957084436400398,1.0,0.5984748427672957,0.675,0.8016565802039852,5.0,13.0,13.0,6.530877627725885,13.140063796608638,0,1,1
38,476,O2813841502026042,徐汇区凌云街道_感温探测器_物联设备信息,上海市徐汇区人民政府,公共安全,数据产品,有条件开放,每年,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=O2813841502026042&&companyFlag=0,2.0,0.0,0.0,0.0075724794461272,0.9607925359052312,0.953220056459104,38.0,0.8416666666666667,0.8875,0.4916858549004938,1.0,0.4990047169811322,0.675,0.8016565802039852,5.0,13.0,13.0,6.398594934535208,12.98591344426643,0,1,1
39,435,O2813841502026063,徐汇区华泾镇_火灾探测器_物联设备信息,上海市徐汇区人民政府,公共安全,数据产品,有条件开放,每年,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=O2813841502026063&&companyFlag=0,3.0,0.0,0.0,0.0123323236694071,0.9655100115316072,0.9531776878622001,39.0,0.8833333333333334,0.9020833333333332,0.4743182828256785,1.0,0.5019764150943397,0.675,0.8016565802039852,5.0,13.0,13.0,5.780743515792329,12.386797094292463,0,1,1
40,481,O2813841502026037,徐汇区虹梅街道_输入输出模块_物联设备信息,上海市徐汇区人民政府,公共安全,数据产品,有条件开放,每半年,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=O2813841502026037&&companyFlag=0,5.0,0.0,0.0,0.0205538727823453,0.9735821364922947,0.9530282637099494,40.0,0.8416666666666667,0.8979166666666666,0.4943554670492773,1.0,0.5575047169811321,0.675,0.8016565802039852,5.0,13.0,13.0,6.489204931325317,13.084206578093951,0,1,1
41,1375,O2813841502025083,徐汇区金属制品业单位,上海市徐汇区人民政府,经济建设,数据产品,有条件开放,每年,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=O2813841502025083&&companyFlag=0,8.0,0.0,0.0,0.0323453050627434,0.9852185763706888,0.9528732713079454,41.0,0.8500000000000001,0.8333333333333334,0.5691788636086315,1.0,0.4157971698113207,0.975,0.8055518166538184,5.0,27.0,27.0,5.225746673713202,12.378213386578024,1,1,1
42,1403,O2813841502025058,徐汇区体育业单位,上海市徐汇区人民政府,经济建设,数据产品,有条件开放,每年,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=O2813841502025058&&companyFlag=0,9.0,0.0,0.0,0.037321505841627,0.9894118880385784,0.9520903821969514,42.0,0.8500000000000001,0.8125,0.6134011436969715,1.0,0.4652987421383648,0.975,0.7752000098904401,5.0,27.0,27.0,6.827629234502852,13.862944564872768,1,1,1
43,419,O2813841502026079,徐汇区湖南街道_门体状态探测传感器(gsm版)_物联设备信息,上海市徐汇区人民政府,公共安全,数据产品,有条件开放,每年,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=O2813841502026079&&companyFlag=0,3.0,0.0,0.0,0.0123323236694071,0.9643568508229374,0.9520245271535304,43.0,0.8416666666666667,0.95,0.4350698891913411,1.0,0.5029669811320755,0.675,0.795864718816109,5.0,11.0,11.0,5.2832037287379885,11.727270421928088,0,1,1
44,471,O2813841502026047,徐汇区天平街道_火灾烟雾探测传感器_物联设备信息,上海市徐汇区人民政府,公共安全,数据产品,有条件开放,每年,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=O2813841502026047&&companyFlag=0,4.0,0.0,0.0,0.0163349199480744,0.9683404969074326,0.9520055769593583,44.0,0.8416666666666667,0.9291666666666666,0.4842887258988031,1.0,0.4990047169811322,0.675,0.8016565802039852,5.0,13.0,13.0,6.148468295917647,12.71221833546903,0,1,1
45,429,O2813841502026069,徐汇区枫林街道_输入输出模块_物联设备信息,上海市徐汇区人民政府,公共安全,数据产品,有条件开放,每年,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=O2813841502026069&&companyFlag=0,2.0,0.0,0.0,0.0075724794461272,0.9595345424048642,0.9519620629587371,45.0,0.8416666666666667,0.8979166666666666,0.4690689323036201,1.0,0.5019764150943397,0.675,0.8016565802039852,5.0,13.0,13.0,5.602118820879701,12.194167054400864,0,1,1
46,425,O2813841502026073,徐汇区凌云街道_消火栓按钮传感器_物联设备信息,上海市徐汇区人民政府,公共安全,数据产品,有条件开放,每年,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=O2813841502026073&&companyFlag=0,3.0,0.0,0.0,0.0123323236694071,0.9641471852395428,0.9518148615701357,46.0,0.8416666666666667,0.91875,0.4711950323039151,1.0,0.5029669811320755,0.675,0.8016565802039852,5.0,13.0,13.0,5.673323267171493,12.273810730101196,0,1,1
47,487,O2813841502026031,徐汇区龙华街道_门禁设备_物联设备信息,上海市徐汇区人民政府,公共安全,数据产品,有条件开放,每年,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=O2813841502026031&&companyFlag=0,2.0,0.0,0.0,0.0075724794461272,0.9592200440297726,0.9516475645836454,47.0,0.8416666666666667,0.8770833333333333,0.4976395383453914,1.0,0.4990047169811322,0.675,0.8016565802039852,5.0,13.0,13.0,6.621405651764134,13.175640602499255,0,1,1
48,1381,O2813841502025077,徐汇区纺织服装、服饰业单位,上海市徐汇区人民政府,经济建设,数据产品,有条件开放,每年,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=O2813841502025077&&companyFlag=0,9.0,0.0,0.0,0.037321505841627,0.988782891288395,0.9514613854467681,48.0,0.8500000000000001,0.8645833333333334,0.5811437814430198,1.0,0.4157971698113207,0.975,0.7992532476649847,5.0,27.0,27.0,5.652489180268651,12.789407750257592,1,1,1
49,458,O2813841502026056,徐汇区漕河泾街道_模块_物联设备信息,上海市徐汇区人民政府,公共安全,数据产品,有条件开放,每年,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=O2813841502026056&&companyFlag=0,2.0,0.0,0.0,0.0075724794461272,0.9588007128629836,0.9512282334168565,49.0,0.8416666666666667,0.8666666666666666,0.5054230625036328,1.0,0.5019764150943397,0.675,0.8016565802039852,5.0,13.0,13.0,6.887552571664617,13.459431150943937,0,1,1
50,216,O2813841502026107,徐汇区_广告牌安全监测_物联设备信息,上海市徐汇区人民政府,公共安全,数据产品,有条件开放,每年,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=O2813841502026107&&companyFlag=0,5.0,0.0,0.0,0.0205538727823453,0.9716951462417444,0.951141273459399,50.0,0.8833333333333334,0.8916666666666666,0.4864971848608177,1.0,0.5376367924528302,0.675,0.8016565802039852,5.0,13.0,13.0,6.234410725718371,12.777913403088164,0,1,1
51,1354,O2813841502025102,徐汇区食品制造业单位,上海市徐汇区人民政府,经济建设,数据产品,有条件开放,每年,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=O2813841502025102&&companyFlag=0,9.0,0.0,0.0,0.037321505841627,0.9876297305797254,0.9503082247380984,51.0,0.8500000000000001,0.8333333333333334,0.5712699636280256,1.0,0.4157971698113207,0.975,0.843923546389139,5.0,27.0,27.0,5.298317366548036,12.45293662970407,1,1,1
52,1376,O2813841502025082,徐汇区邮政业单位,上海市徐汇区人民政府,经济建设,数据产品,有条件开放,每年,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=O2813841502025082&&companyFlag=0,8.0,0.0,0.0,0.0323453050627434,0.9825977565782577,0.9502524515155143,52.0,0.8500000000000001,0.8125,0.5663966583694405,1.0,0.4157971698113207,0.975,0.7752000098904401,5.0,27.0,27.0,5.056245805348308,12.382514450411737,1,1,1
53,226,O2813841502026097,徐汇区_送风阀口传感器_物联设备信息,上海市徐汇区人民政府,公共安全,数据产品,有条件开放,每年,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=O2813841502026097&&companyFlag=0,4.0,0.0,0.0,0.0163349199480744,0.9664535066568822,0.9501185867088078,53.0,0.8416666666666667,0.8666666666666666,0.5026940667248176,1.0,0.5376367924528302,0.675,0.8016565802039852,5.0,13.0,13.0,6.777646593635117,13.383522300354894,0,1,1
54,433,O2813841502026065,徐汇区龙华街道_点型感烟探测器_物联设备信息,上海市徐汇区人民政府,公共安全,数据产品,有条件开放,每年,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=O2813841502026065&&companyFlag=0,3.0,0.0,0.0,0.0123323236694071,0.9621553621972954,0.9498230385278883,54.0,0.8416666666666667,0.9083333333333332,0.4728009566318027,1.0,0.5019764150943397,0.675,0.8016565802039852,5.0,13.0,13.0,5.733341276897746,12.325103790862418,0,1,1
55,455,O2813841502026059,徐汇区凌云街道_手动火灾报警按钮_物联设备信息,上海市徐汇区人民政府,公共安全,数据产品,有条件开放,每年,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=O2813841502026059&&companyFlag=0,4.0,0.0,0.0,0.0163349199480744,0.9658245099066988,0.9494895899586244,55.0,0.8416666666666667,0.91875,0.4784406633261463,1.0,0.5019764150943397,0.675,0.8016565802039852,5.0,13.0,13.0,5.921578419643816,12.537277462192314,0,1,1
56,70,O2813841502026127,徐汇区_门体状态探测传感器(nb版)_物联设备信息,上海市徐汇区人民政府,公共安全,数据产品,有条件开放,每年,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=O2813841502026127&&companyFlag=0,6.0,0.0,0.0,0.0240155776720034,0.9731628053255058,0.9491472276535025,56.0,0.8416666666666667,0.9395833333333332,0.4511208170429665,1.0,0.5445707547169811,0.675,0.8016565802039852,5.0,13.0,13.0,4.969813299576001,11.566210274973464,0,1,1
