rule_dormant_rank,序号,数据集ID,数据资源名称,数据资源提供部门,数据领域,数据资源类型,开放属性,更新频率,detail_url,view_count_clean,download_count_clean,api_call_count_clean,ActualUse_main_percentile,PotentialUse_main_percentile,DormantScore_rule_v11,DormantScore_rule_rank_v11,topic_public_value_score,semantic_clarity_score,data_richness_score,machine_readability_score,timeliness_score,spatiotemporal_capability_score,combinability_score,format_count_clean,field_count_clean,field_description_count_clean,record_count_log_winsor_p99,data_size_log_winsor_p99,has_meaningful_time_scope,has_time_field_strict,has_geo_field_strict
1,1401,O2813841502025060,徐汇区化学原料和化学制品制造业单位,上海市徐汇区人民政府,经济建设,数据产品,有条件开放,每年,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=O2813841502025060&&companyFlag=0,5.0,0.0,0.0,0.0205538727823453,0.9931858685396792,0.9726319957573338,1.0,0.8500000000000001,0.90625,0.5577720779859155,1.0,0.4652987421383648,0.975,0.7992532476649847,5.0,27.0,27.0,4.795790545596741,12.019074168977248,1,1,1
2,220,O2813841502026103,徐汇区_安全隐患监管一体机_物联设备信息,上海市徐汇区人民政府,公共安全,数据产品,有条件开放,每年,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=O2813841502026103&&companyFlag=0,2.0,0.0,0.0,0.0075724794461272,0.9800817695775238,0.9725092901313966,2.0,0.925,0.9375,0.4913793985753898,1.0,0.5376367924528302,0.675,0.8016565802039852,5.0,13.0,13.0,6.393590753950631,12.966955574395405,0,1,1
3,1390,O2813841502025068,徐汇区建筑装饰、装修和其他建筑业单位,上海市徐汇区人民政府,经济建设,数据产品,有条件开放,每年,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=O2813841502025068&&companyFlag=0,6.0,0.0,0.0,0.0240155776720034,0.9958066883321104,0.971791110660107,3.0,0.8500000000000001,0.9166666666666666,0.6392287284373304,1.0,0.4652987421383648,0.975,0.7752000098904401,5.0,27.0,27.0,7.6004023345004,14.961556217758403,1,1,1
4,456,O2813841502026058,徐汇区华泾镇_消火栓按钮传感器_物联设备信息,上海市徐汇区人民政府,公共安全,数据产品,有条件开放,每年,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=O2813841502026058&&companyFlag=0,1.0,0.0,0.0,0.0022717438338381,0.9717999790334416,0.9695282351996035,4.0,0.8833333333333334,0.9333333333333332,0.4789229823059511,1.0,0.5019764150943397,0.675,0.8016565802039852,5.0,13.0,13.0,5.940171252720432,12.551876209580271,0,1,1
5,1387,O2813841502025071,徐汇区机动车、电子产品和日用产品修理业单位,上海市徐汇区人民政府,经济建设,数据产品,有条件开放,每年,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=O2813841502025071&&companyFlag=0,7.0,0.0,0.0,0.0276936391172652,0.99695984904078,0.9692662099235149,5.0,0.8500000000000001,0.9479166666666666,0.6162874546090076,1.0,0.4652987421383648,0.975,0.7992532476649847,5.0,27.0,27.0,7.00033446027523,13.862944564872768,1,1,1
6,463,O2813841502026052,徐汇区斜土街道_火灾烟雾探测传感器_物联设备信息,上海市徐汇区人民政府,公共安全,数据产品,有条件开放,每年,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=O2813841502026052&&companyFlag=0,1.0,0.0,0.0,0.0022717438338381,0.9703323199496804,0.9680605761158423,6.0,0.8416666666666667,0.9291666666666666,0.4984383890079324,1.0,0.5019764150943397,0.675,0.8016565802039852,5.0,13.0,13.0,6.647688373563329,13.206235665940454,0,1,1
7,488,O2813841502026030,徐汇区康健街道_火灾烟雾探测传感器_物联设备信息,上海市徐汇区人民政府,公共安全,数据产品,有条件开放,每年,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=O2813841502026030&&companyFlag=0,1.0,0.0,0.0,0.0022717438338381,0.9695984904077996,0.9673267465739614,7.0,0.8416666666666667,0.9291666666666666,0.4979094934647418,1.0,0.4990047169811322,0.675,0.8016565802039852,5.0,13.0,13.0,6.626717749249025,13.191055136894946,0,1,1
8,484,O2813841502026034,徐汇区枫林街道_火灾烟雾探测传感器_物联设备信息,上海市徐汇区人民政府,公共安全,数据产品,有条件开放,每年,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=O2813841502026034&&companyFlag=0,1.0,0.0,0.0,0.0022717438338381,0.969283992032708,0.9670122481988699,8.0,0.8416666666666667,0.9291666666666666,0.4946064614553884,1.0,0.4990047169811322,0.675,0.8016565802039852,5.0,13.0,13.0,6.511745329644728,13.073511311319011,0,1,1
9,486,O2813841502026032,徐汇区华泾镇_火灾烟雾探测传感器_物联设备信息,上海市徐汇区人民政府,公共安全,数据产品,有条件开放,每年,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=O2813841502026032&&companyFlag=0,2.0,0.0,0.0,0.0075724794461272,0.97452563161757,0.9669531521714428,9.0,0.8833333333333334,0.94375,0.4965400756152587,1.0,0.4990047169811322,0.675,0.8016565802039852,5.0,13.0,13.0,6.580639137284949,13.140063796608638,0,1,1
10,465,O2813841502026051,徐汇区天平街道_门体状态探测传感器(gsm版)_物联设备信息,上海市徐汇区人民政府,公共安全,数据产品,有条件开放,每年,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=O2813841502026051&&companyFlag=0,1.0,0.0,0.0,0.0022717438338381,0.9687598280742216,0.9664880842403835,10.0,0.8416666666666667,0.95,0.4591925075729827,1.0,0.5019764150943397,0.675,0.795864718816109,5.0,11.0,11.0,6.129050210060545,12.57692215398762,0,1,1
11,1386,O2813841502025072,徐汇区橡胶和塑料制品业单位,上海市徐汇区人民政府,经济建设,数据产品,有条件开放,每年,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=O2813841502025072&&companyFlag=0,6.0,0.0,0.0,0.0240155776720034,0.9902505503721564,0.966234972700153,11.0,0.8500000000000001,0.8645833333333334,0.5551773173013995,1.0,0.4652987421383648,0.975,0.7992532476649847,5.0,27.0,27.0,4.718498871295094,11.90821228291114,1,1,1
12,475,O2813841502026043,徐汇区华泾镇_门体状态探测传感器(gsm版)_物联设备信息,上海市徐汇区人民政府,公共安全,数据产品,有条件开放,每年,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=O2813841502026043&&companyFlag=0,3.0,0.0,0.0,0.0123323236694071,0.9778802809518816,0.9655479572824746,12.0,0.8833333333333334,0.975,0.4908135811017752,1.0,0.4990047169811322,0.675,0.8016565802039852,5.0,13.0,13.0,6.371611847231857,12.950067396157342,0,1,1
